variant,fold_A,fold_B,consistent,worst
clip lo=5.0,-0.001874698078406567,-0.00043786323345784695,True,-0.00043786323345784695
clip lo=0.0,0.0,0.0,False,0.0
clip lo=2.0,0.0,0.0,False,0.0
smooth w3 blend0.1,-0.031540667629144536,0.07957970638593892,False,0.07957970638593892
stretch q0.95 k0.02,0.12682141979777128,-0.19286064912302336,False,0.12682141979777128
smooth w3 blend0.2,-0.04345390499787527,0.1825546035713579,False,0.1825546035713579
smooth w5 blend0.1,-0.05068889282984301,0.19314836968584714,False,0.19314836968584714
smooth w3 blend0.3,-0.035708949613439955,0.3084972404884141,False,0.3084972404884141
stretch q0.9 k0.02,0.3104199227191806,-0.33839488296649733,False,0.3104199227191806
stretch q0.95 k0.05,0.3379395719371523,-0.3231230297232308,False,0.3379395719371523
smooth w5 blend0.2,-0.04711786826092634,0.4517816736280338,False,0.4517816736280338
smooth w3 blend0.5,0.038625002426222466,0.6271789930131071,False,0.6271789930131071
stretch q0.95 k0.1,0.7437879274057622,-0.10907249660342089,False,0.7437879274057622
smooth w5 blend0.3,0.01068763371462822,0.7729753987964472,False,0.7729753987964472
stretch q0.9 k0.05,0.857772023574519,-0.3929326953971639,False,0.857772023574519
scale x0.98,-0.8583748906304933,0.9126400347268095,False,0.9126400347268095
scale x1.02,1.1116773667332716,-0.5667072681583569,False,1.1116773667332716
smooth w5 blend0.5,0.2869938023101284,1.5891466714189981,False,1.5891466714189981
stretch q0.9 k0.1,1.9712131518760962,0.7053882462766374,False,1.9712131518760962
scale x1.04,2.4432653495428553,-0.7503299830588865,False,2.4432653495428553
