variant,fold_B,mean,primary,delta_vs_base,sd,spread,n_feat,secs,notes
all 170,16.63672180637582,16.63672180637582,16.63672180637582,0.0,0.05611084054552,0.0,170,181.2,
top 120,16.66603050653333,16.66603050653333,16.66603050653333,0.029,0.10598458923670337,0.0,120,115.1,
top 90,16.948859576567433,16.948859576567433,16.948859576567433,0.312,0.07487563157095803,0.0,90,66.0,
top 60,17.059776613089813,17.059776613089813,17.059776613089813,0.423,0.06200392190556813,0.0,60,24.0,
top 40,17.273980965554127,17.273980965554127,17.273980965554127,0.637,0.09778416372983391,0.0,40,16.4,
top 25,17.775786688259945,17.775786688259945,17.775786688259945,1.139,0.030749947171405986,0.0,25,12.3,
top 15,19.276253449910953,19.276253449910953,19.276253449910953,2.64,0.021736057301207506,0.0,15,29.8,
