variant,fold_B,mean,primary,delta_vs_base,sd,spread,n_feat,secs,notes
current,16.63672180637582,16.63672180637582,16.63672180637582,0.0,0.05611084054552,0.0,170,105.2,
ratio target /PM10_t1,17.288704933238815,17.288704933238815,17.288704933238815,0.652,0.04702775856220052,0.0,170,216.4,
ratio /raw_PM10,17.596171611227224,17.596171611227224,17.596171611227224,0.959,0.10780930758553778,0.0,170,322.4,
"ratio, no weight",17.923523674576654,17.923523674576654,17.923523674576654,1.287,0.05717484332998931,0.0,170,117.0,
