variant,fold_A,fold_B,mean,primary,delta_vs_base,sd,spread,n_feat,secs,notes
B+lag+diff,22.57704718590677,17.692329515642204,20.13468835077449,17.692329515642204,-0.155,0.11418496885603906,4.981286087888549,170,199.4,
B+lag,22.644667116547254,17.847363790247954,20.246015453397604,17.847363790247954,0.0,0.0910770296733971,4.822068100860747,143,110.4,
lag+diff,22.76905993334563,17.883082943052163,20.326071438198895,17.883082943052163,0.036,0.22975329245194073,5.178855283198725,162,156.9,
B+lag+diff+E,22.65297872412895,17.898231416461332,20.27560507029514,17.898231416461332,0.051,0.15934835951608528,4.861299567441993,180,194.4,
B+lag+diff+F,22.30713041459161,18.08721342172236,20.197171918156982,18.08721342172236,0.24,0.07556069470679554,3.889923816373134,177,219.8,
B+lag+diff+roll,22.767464900986127,18.739754431664757,20.753609666325442,18.739754431664757,0.892,0.04802032104236088,3.992258359155418,212,137.1,
