variant,fold_B,mean,primary,delta_vs_base,sd,spread,n_feat,secs,notes
linear w=4,16.599164505589403,16.599164505589403,16.599164505589403,-0.038,0.012881580657462557,0.0,170,145.8,
threshold p90 x4,16.616166439852005,16.616166439852005,16.616166439852005,-0.021,0.049706363819754636,0.0,170,165.1,
current (linear w=2.31),16.63672180637582,16.63672180637582,16.63672180637582,0.0,0.05611084054552,0.0,170,152.3,
sqrt weight,16.64181356895999,16.64181356895999,16.64181356895999,0.005,0.01986024928420675,0.0,170,427.5,
linear w=6,16.698112605519814,16.698112605519814,16.698112605519814,0.061,0.11284042516760225,0.0,170,126.2,
quadratic,16.968216022568512,16.968216022568512,16.968216022568512,0.331,0.03236296438998066,0.0,170,114.3,
sqrt target,17.181367794482146,17.181367794482146,17.181367794482146,0.545,0.0987856122134559,0.0,170,290.9,
