variant,fold_A,fold_B,mean,primary,delta_vs_base,sd,spread,n_feat,secs,notes
+B +C lags,22.644667116547254,17.847363790247954,20.246015453397604,17.847363790247954,-0.785,0.0910770296733971,4.822068100860747,143,80.9,
+C diffs only,22.331945922506574,18.005677690261578,20.168811806384078,18.005677690261578,-0.627,0.0794570982907567,4.118658523181374,108,85.9,
+C lags only,22.787496839096914,18.03896776343634,20.413232301266625,18.03896776343634,-0.593,0.1682008549369652,5.004012662391801,135,66.0,
base (raw+C0+D),22.639681672562972,18.63244109358813,20.636061383075553,18.63244109358813,0.0,0.14693697314276372,4.038846641891293,81,38.7,
+E null flags,22.414070556226505,18.74505085431005,20.57956070526828,18.74505085431005,0.113,0.1342935899207971,3.3702021257162116,91,44.0,
+B meteo,22.261344506960167,18.76349880688831,20.51242165692424,18.76349880688831,0.131,0.2212769997866238,3.1858332036136154,89,42.3,
