variant,fold_A,fold_B,mean,primary,delta_vs_base,sd,spread,n_feat,secs,notes
D16 drop SO2,22.82892684344641,17.69060786196438,20.259767352705396,17.69060786196438,-0.002,0.08481637953845136,5.175130080723665,155,63.2,
D16 keep SO2 as-is,22.57704718590677,17.692329515642204,20.13468835077449,17.692329515642204,0.0,0.11418496885603906,4.981286087888549,170,138.9,
D16 SO2 as ratio,22.867706530539834,18.023391728005834,20.445549129272834,18.023391728005834,0.331,0.1507475511923266,4.800092684929012,170,100.5,
D16 SO2 both,22.812270999005793,18.370397220977686,20.59133410999174,18.370397220977686,0.678,0.10852549695104265,4.231203358251204,185,102.5,
