variant,fold_A,fold_B,mean,primary,delta_vs_base,spread,n_feat,secs,notes
T2 +C0 leads,23.254266927476355,19.224574358183688,21.23942064283002,19.224574358183688,-10.655,4.029692569292667,49,5.6,
T6 +D cross-station,22.905279785248783,20.472170557063112,21.688725171155948,20.472170557063112,-9.407,2.433109228185671,223,21.3,
T7 +F interactions,22.50679900262469,21.20593612561513,21.856367564119907,21.20593612561513,-8.674,1.3008628770095605,230,17.2,
T8 +E missing flags,22.542814859048107,21.60616718570667,22.074491022377387,21.60616718570667,-8.273,0.9366476733414366,240,17.1,
T5 +C lags/rolls,23.074594278054086,22.45937241250488,22.766983345279485,22.45937241250488,-7.42,0.6152218655492057,191,16.9,
T4 +B meteorology,22.483200033350997,22.697124479369492,22.590162256360244,22.697124479369492,-7.183,0.21392444601849547,67,4.9,
T3 +A calendar,23.336245166179186,23.745692481472933,23.54096882382606,23.745692481472933,-6.134,0.4094473152937468,59,5.2,
T1 raw,28.958634957773675,29.879628753558958,29.419131855666315,29.879628753558958,0.0,0.9209937957852823,12,8.1,
